Name,Share Price (CNY),Total Volume,Maeket Capitalization in (CNY),Industry
"SHANGHAI BROADBAND TECHNOLOGY CO.,LTD.",2.61,2.175M,845.174M,Distribution services
SHENYANG JINBEI AUTOMOTIVE COMPANY LIMTED,3.64,6.272M,4.812B,Producer manufacturing
"GUIZHOU ZHONG YI DA CO.,LTD",3.43,6.543M,2.816B,Producer manufacturing
"DAZHONG TRANSPORTATION（GROUP）CO.,LTD.",10,531.855M,15.572B,Transportation
"LAO FENG XIANG CO.,LTD.",47.37,1.299M,20.142B,Consumer durables
SHANGHAI SHENQI PHARMACEUTICAL INVESTMENT MANAGEMENT,5.38,3.442M,2.806B,Health technology
"CHONGQING FENGHWA GROUP CO.,LTD",8.99,1.459M,1.702B,Non-energy minerals
SHANGHAI JINFENG WINE COMPANY LIMITED,4.32,3.543M,2.964B,Consumer non-durables
SHANXI GUOXIN ENERGY CORPORATION LIMITED,2.28,5.115M,4.356B,Process industries
"SHANGHAI CHLOR-ALKALI CHEMICAL CO.,LTD.",7.78,2.338M,7.326B,Process industries
"SHANGHAI HIGHLY(GROUP) CO.,LTD.",4.97,4.2M,4.413B,Producer manufacturing
"SHANGHAI TIANCHEN CO.,LTD.",4.18,2.147M,2.932B,Finance
"SHANGHAI CHINAFORTUNE CO., LTD",12.33,16.939M,13.463B,Finance
"EVERBRIGHT JIABAO CO.,LTD",1.69,18.663M,2.549B,Finance
SHANGHAI HUAYI GROUP,5.85,5.724M,11.771B,Process industries
"SHANGHAI FUDAN FORWARD S&T CO., LTD",2.86,9.026M,1.969B,Health technology
"SHANGHAI SHENDA CO.,LTD.",2.76,6.139M,3.724B,Process industries
"SHANGHAI NEW WORLD CO.,LTD.",5.59,1.755M,3.655B,Distribution services
ARCPLUS GROUP PLC,4.11,6.843M,4.047B,Industrial services
SHANGHAI DRAGON CORPORATION,7.53,21.843M,3.097B,Consumer non-durables
"ZHEJIANG DAILY DIGITAL CULTURE GROUP CO.,LTD.",8.07,11.28M,10.316B,Technology services
"SHANGHAI DAZHONG PUBLIC UTILITIES (GROUP) CO.,LTD",3.07,52.397M,8.14B,Utilities
CHINA REFORM CULTURE HOLDINGS,7.28,8.092M,3.288B,Process industries
ORIENTAL PEARL GROUP,6.03,14.33M,20.743B,Consumer services
SHANGHAI NEW HUANG PU INDUSTRIAL GROUP,3.77,6.214M,2.572B,Finance
"SHANGHAI JINQIAO EXPORT PROCESSING ZONE DEVELOPMENT CO.,LTD.",9.37,3.971M,9.616B,Finance
"NEW GUOMAI DIGITAL CULTURE CO., LTD",9.51,23.466M,8.22B,Commercial services
"SHANGHAI WANYE ENTERPRISES CO.,LTD.",9.75,4.147M,8.651B,Finance
SHENERGY COMPANY LIMITED,8.39,14.737M,39.99B,Utilities
"SHANGHAI AJ GROUP CO.,LTD.",3.87,7.661M,6.249B,Finance
"LESHAN ELECTRIC POWER CO.,LTD.",5.35,3.803M,2.897B,Utilities
VCANBIO CELL & GENE ENGINEERING,15.96,3.352M,7.599B,Commercial services
"SHANGHAI WAI GAOQIAO FREE TRADE ZONE DEVELOPMENT CO.,LTD.",8.81,2.307M,9.246B,Finance
SHANGHAI CHENGTOU HOLDING,3.23,22.023M,8.272B,Consumer durables
SHANGHAI JIN JIANG ONLINE NETWORK SERVICE,13.99,79.985M,5.519B,Transportation
"SHANGHAI FEILO ACOUSTICS CO., LTD",2.71,5.271M,6.844B,Electronic technology
"LIAONING SHENHUA HOLDINGS CO.,LTD.",1.27,13.155M,2.452B,Consumer durables
"CHINA SECURITY CO., LTD",2.17,8.921M,6.383B,Commercial services
"SHANGHAI YUYUAN TOURIST MART（GROUP） CO.,LTD",5.27,4.539M,20.62B,Retail trade
CINDA REAL ESTATE CO.，LTD.,2.75,13.41M,7.843B,Finance
BEIJING ELECTRONIC ZONE HIGH-TECH GROUP,2.93,7.289M,3.345B,Finance
FUYAO GLASS INDUSTRY GROUP,46.55,8.163M,115.944B,Consumer durables
"SHANGHAI XINNANYANG ONLY EDUCATION & TECHNOLOGY CO., LTD",10.8,14.266M,2.91B,Technology services
"SHANGHAI FOREIGN SERVICE HOLDING GROUP CO.,LTD.",3.96,4.535M,9.157B,Commercial services
"SHANGHAI LUJIAZUI FINANCE & TRADE ZONE DEVELOPMENT CO.,LTD.",8.27,2.728M,36.559B,Finance
"HARBIN PHARMACEUTICAL GROUP CO.,LTD.",3.15,15.54M,8.009B,Health technology
"TANDE CO.,LTD.",2.15,7.934M,1.892B,Finance
"AURORA OPTOELECTRONICS CO.,LTD",1.42,101.137M,4.283B,Electronic technology
WUXI TAIJI INDUSTRY COMPANY LIMITED.,5.09,15.517M,10.784B,Industrial services
"ZHEJIANG JIANFENG GROUP CO.,LTD",8.11,2.068M,2.835B,Non-energy minerals
"HANGZHOU TIAN-MU-SHAN PHARMACEUTICAL ENTERPRISE CO.,LTD",6.04,225.1K,740.416M,Health technology
"GUANGDONG HEC TECHNOLOGY HOLDING CO., LTD",6.33,6.005M,18.519B,Non-energy minerals
"SICHUAN CHUANTOU ENERGY CO.,LTD.",18.45,14.01M,87.987B,Utilities
CHINA ENTERPRISE COMPANY LIMITED,2.48,9.652M,14.99B,Finance
SHANGHAI JIAO YUN GROUP,3.44,30.056M,3.641B,Transportation
SICHUAN GOLDEN SUMMIT (GROUP) JOINT-STOCK,4.98,14.321M,1.769B,Non-energy minerals
SHANGHAI PHOENIX ENTERPRISE (GROUP),8.78,2.212M,3.391B,Consumer durables
BESTSUN ENERGY,3.29,1.631M,4.415B,Commercial services
"NANJING XINJIEKOU DEPARTMENT STORE CO.,LTD",4.9,5.5M,6.69B,Retail trade
METRO LAND,3.46,8.129M,2.615B,Finance
GUANGZHOU PEARL RIVER DEVELOPMENT GROUP,2.72,14.199M,2.373B,Finance
CSSC OFFSHORE & MARINE ENGINEERING (GROUP) COMPANY LIMITED,25.68,4.448M,29.274B,Producer manufacturing
"XIAMEN KING LONG MOTOR GROUP CO.,TLD.",14.76,145.019M,11.15B,Consumer durables
"SINOPEC SHANGHAI PETROCHEMICAL CO.,LTD",2.67,18.106M,23.051B,Energy minerals
SHANGHAI SANMAO ENTERPRISE (GROUP) CO.，LTD.,6.65,3.422M,1.141B,Distribution services
HAIER SMART HOME,24.07,28.609M,211.614B,Consumer durables
"YANGMEI CHEMICAL CO.,LTD",1.41,18.038M,3.445B,Process industries
"SHANG HAI YA TONG CO.,LTD.",5.11,9.037M,1.826B,Finance
"FUJIAN DONGBAI GROUP CO.,LTD.",2.83,3.774M,2.415B,Retail trade
DASHANG CO.，LTD.,15.33,1.76M,4.696B,Retail trade
SHANGHAI GUIJIU,7.66,12.956M,2.666B,Consumer non-durables
CHANG CHUN EURASIA GROUP,9.64,1.777M,1.553B,Retail trade
"HUNAN TYEN MACHINERY CO., LTD",3.6,15.358M,3.171B,Producer manufacturing
NINGBO JOYSON ELECTRONIC CORP.,13.82,13.579M,19.582B,Consumer durables
SHEDE SPIRITS,45.5,14.866M,16.17B,Consumer non-durables
"SAN'AN OPTOELECTRONICS CO.,LTD",10.54,23.46M,53.881B,Electronic technology
WUCHAN ZHONGDA GROUP,4.41,29.991M,22.36B,Distribution services
AVIC INDUSTRY-FINANCE HOLDINGS,2.17,22.575M,19.146B,Finance
"XI’AN QUJIANG CULTURAL TOURISM CO.,LTD.",8.56,5.872M,2.255B,Consumer services
"CAIHONG DISPLAY DEVICES CO.,LTD.",6.48,13.434M,23.54B,Electronic technology
"BRIGHT REAL ESTATE GROUP CO.,LIMITED",1.79,16.863M,3.945B,Finance
SUMEC CORPORATION LIMITED,8.02,7.49M,10.402B,Producer manufacturing
"CHENGTUN MINING GROUP CO.,LTD",3.7,77.155M,11.819B,Non-energy minerals
"NANNING DEPARTMENT STORE CO.,LTD.",3.31,6.436M,1.841B,Retail trade
NANJING PHARMACEUTICAL COMPANY LIMITED,4.29,3.48M,5.669B,Distribution services
"QINGHAI JINRUN MINERAL DEVELOPMENT CO., LTD",6.86,1.897M,2.017B,Non-energy minerals
CULTURAL INVESTMENT HOLDINGS,1.69,15.312M,3.135B,Consumer services
JIANGSU PHOENIX PROPERTY INVESTMENT,2.51,5.933M,2.35B,Finance
"TIANJIN PORT HOLDINGS CO.,LTD.",4.57,18.588M,13.023B,Transportation
NEUSOFT CORPORATION,7.5,10.378M,9.117B,Technology services
"DALIAN THERMAL POWER CO.,LTD.",6.15,12.255M,2.496B,Utilities
CCCC DESIGN & CONSULTING GROUP,8.35,5.449M,17.545B,Non-energy minerals
"XINJIANG BAI HUA CUN PHARMA TECH CO.,LTD",6,18.059M,2.38B,Commercial services
"HEBEI JINNIU CHEMICAL INDUSTRIAL CO.,LTD",3.65,2.848M,2.524B,Process industries
NINGBO FUDA COMPANY LIMITED,3.55,4.74M,5.246B,Finance
YUNNAN YUNWEI COMPANY LIMITED,2.43,8.602M,3.044B,Energy minerals
HUADIAN ENERGY COMPANY LIMITED,2.03,9.558M,15.697B,Utilities
"SHANDONG LUBEI CHEMICAL CO.,LTD.",6.43,18.169M,3.51B,Process industries
"PCI TECHNOLOGY GROUP CO.,LTD.",3.56,17.54M,7.771B,Electronic technology
"CHONGQING DEPARTMENT STORE CO.,LTD.",17.25,2.441M,7.538B,Retail trade
"CHINA HI-TECH GROUP CO.,LTD.",4.06,7.763M,2.446B,Transportation
"HUNAN HAILI CHEMICAL INDUSTRY CO.,LTD.",4.21,1.752M,2.403B,Process industries
SHANGHAI AIKO SOLAR ENERGY,7.97,16.865M,15.043B,Electronic technology
BLUEPARK NEW ENERGY TECHNOLOGY,7,206.402M,39.572B,Consumer durables
FUJIAN START GROUP CO. LTD,2.85,12.512M,6.339B,Electronic technology
SHANDONG HIKING INTERNATIONAL,3.54,3.271M,1.544B,Consumer non-durables
"SUZHOU NEW DISTRICT HI-TECH INDUSTRIAL CO.,LTD",4.23,23.336M,4.778B,Finance
"COFCO SUGAR HOLDING CO.,LTD.",8.09,16.945M,17.453B,Process industries
"LANZHOU LISHANG GUOCHAO INDUSTRIAL GROUP CO.,LTD",3.47,4.699M,2.601B,Commercial services
"LIAONING CHENGDA CO.,LTD.",7.38,8.72M,11.565B,Transportation
"SHAN XI COKING CO.,LTD",3.46,5.934M,8.916B,Energy minerals
HUAYU AUTOMOTIVE SYSTEMS COMPANY LIMITED,13.3,12.984M,42.247B,Producer manufacturing
"CHANGCHUN FAWAY AUTOMOBILE COMPONENTS CO., LTD",7.43,3.858M,5.632B,Producer manufacturing
"HUAYUAN PROPERTY CO.,LTD.",1.19,12.597M,2.792B,Finance
"DATANG HUAYIN ELECTRIC POWER CO.,LTD.",2.88,9.964M,5.87B,Utilities
WINGTECH TECHNOLOGY,25.22,11.543M,32.152B,Electronic technology
JIANGSU SOPO CHEMICAL CO.LTD.,6.07,3.638M,7.287B,Process industries
"SHANGHAI INDUSTRIAL DEVELOPMENT CO.,LTD.",2.43,5.186M,4.519B,Finance
"TIBET TOURISM CO.,LTD",10.16,4.092M,2.336B,Consumer services
JIANGZHONG PHARMACEUTICAL,22.15,5.399M,13.646B,Health technology
HNA TECHNOLOGY,2.1,11.198M,5.725B,Distribution services
FUJIAN ORIENTAL SILVER STAR INVESTMENT CO.LTD,5.19,5.553M,1.246B,Distribution services
"SHANGHAI JIN JIANG INTERNATIONAL HOTELS CO.,LTD.",23.23,7.296M,23.379B,Consumer services
"XIAMEN ITG GROUP CORP., LTD.",6,10.789M,12.933B,Transportation
INSPUR SOFTWARE,9.71,4.069M,3.238B,Technology services
"CHANGJIANG PUBLISHING & MEDIA CO.,LTD",8.22,7.785M,10.085B,Consumer services
"LIAONING ENERGY INDUSTRY CO.,LTD",2.74,5.433M,3.649B,Energy minerals
GEO-JADE PETROLEUM CORPORATION,2.23,12.416M,9.501B,Energy minerals
AVIC SHENYANG AIRCRAFT,39.59,7.352M,107.109B,Electronic technology
"ANHUI HELI CO.,LTD.",16.12,8.827M,14.509B,Producer manufacturing
TOPCHOICE MEDICAL CO.INC,41.1,4.458M,18.715B,Health services
CHINA MARINE INFORMATION ELECTRONICS,19.45,3.298M,14.149B,Electronic technology
"AVIC HEAVY MACHINERY CO.,LTD.",16.74,21.402M,24.567B,Producer manufacturing
"NINGBO FUBANG JINGYE GROUP CO,.LTD",6.79,3.34M,930.881M,Non-energy minerals
"WUHAN XIANGLONG POWER INDUSTRY CO,LTD.",5.75,3.955M,2.197B,Utilities
"JIANGSU ZONGYI CO.,LTD",2.21,12.727M,2.938B,Electronic technology
GUANGYUYUAN CHINESE HERBAL MEDICINE,16.26,4.758M,8.035B,Health technology
"TIBET URBAN DEVELOPMENT AND INVESTMENT CO.,LTD",10.87,5.632M,9.188B,Finance
"HANSHANG GROUP CO.,LTD.",6.53,2.927M,1.919B,Health technology
NANJING PANDA ELECTRONICS COMPANY LIMITED,7.16,12.332M,5.404B,Electronic technology
"EASTERN COMMUNICATIONS CO.,LTD.",8.75,5.523M,9.233B,Electronic technology
SHANDONG XINCHAO ENERGY,1.84,28.287M,12.266B,Energy minerals
"XINJIANG YOUHAO (GROUP) CO.,LTD",4.98,19.599M,1.495B,Retail trade
"SICHUAN SWELLFUN CO.,LTD",32.55,3.053M,16.376B,Health technology
TOP ENERGY COMPANY LTD.SHANXI,5.15,3.031M,5.962B,Utilities
"XINYU IRON ＆ STEEL CO.,LTD",2.98,23.746M,9.409B,Non-energy minerals
LUXIN VENTURE CAPITAL GROUP,9.04,1.038M,6.826B,Process industries
"LUYIN INVESTMENT GROUP CO.,LTD.",4.48,2.453M,3.061B,Finance
"YINCHUAN XINHUA COMMERCIAL (GROUP) CO.,LTD.",9.43,3.721M,2.171B,Retail trade
"CMST DEVELOPMENT CO.,LTD.",4.67,7.582M,10.16B,Transportation
"SHANDONG LUKANG PHARMACEUTICAL CO.,LTD.",7.01,50.898M,6.442B,Health technology
"ZHEJIANG CHINA LIGHT&TEXTILE INDUSTRIAL CITY GROUP CO.,LTD.",3.18,2.053M,4.661B,Finance
"BEH-PROPERTY CO., LTD",3.24,8.664M,1.485B,Finance
"YUNNAN COAL & ENERGY CO.,LTD.",3.05,4.777M,3.43B,Energy minerals
"YIBINPAPERINDUSTRYCO.,LTD",8.53,631.4K,1.534B,Process industries
ZHANGJIAGANG FREETRADE SCIENCE & TECHNOLOGY GROUP,2.99,9.872M,3.649B,Process industries
"GD POWER DEVELOPMENT CO., LTD",5.49,73.421M,97.561B,Utilities
ZHEJIANG QIANJIANG BIOCHEMICAL COMPANY LIMITED,3.99,2.805M,3.501B,Process industries
"INSIGMA TECHNOLOGY CO.,LTD.",4.46,7.755M,4.601B,Technology services
NINGBO MARINE COMPANY LIMITED.,2.66,3.549M,3.221B,Transportation
"TIAN JIN BOHAI CHEMICAL CO.,LTD.",1.9,4.063M,2.142B,Process industries
"HUAXIN CEMENT CO., LTD.",11.45,10.531M,20.598B,Non-energy minerals
FUJIAN CEMENT INC.,2.64,3.177M,1.233B,Non-energy minerals
ENN NATURAL GAS,18.06,4.128M,55.396B,Utilities
"DR.PENG TELECOM&MEDIA GROUP CO.,LTD.",1.34,29.588M,2.171B,Technology services
JIANGSU YUEDA INVESTMENT CO.LTD.,3.33,3.637M,2.859B,Consumer durables
JINAN HIGH-TECH DEVELOPMENT,2.64,25.809M,2.422B,Finance
MAANSHAN IRON & STEEL COMPANY LIMITED,1.84,18.516M,12.926B,Non-energy minerals
"SHANXI XINGHUACUN FEN WINE FACTORY CO.,LTD",178.67,4.229M,219.721B,Consumer non-durables
"SHEN MA INDUSTRY CO.,LTD",5.87,3.77M,6.15B,Process industries
ORIENT GROUP INCORPORATION,1.34,216.06M,4.901B,Process industries
NORTH CHINA PHARMACEUTICAL COMPANY. LTD,4.81,9.003M,8.321B,Health technology
"HANGZHOU JIEBAI GROUP CO., LIMITED.",5.68,4.346M,4.256B,Retail trade
XIAMEN XGMA MACHINERY COMPANY LIMITED.,1.9,3.912M,3.406B,Producer manufacturing
"J-YUAN TRUST CO.,LTD.",2.41,17.787M,23.617B,Finance
"YUTONG HEAVY INDUSTRIES CO.,LTD.",11.73,40.463M,6.641B,Electronic technology
"ZHONGLU CO,.LTD.",12.77,14.678M,3.017B,Consumer durables
SHANGHAI YAOHUA PILKINGTON GLASS GROUP,4.25,5.784M,3.562B,Process industries
"SHANGHAI TUNNEL ENGINEERING CO.,LTD.",6.65,13.469M,20.94B,Industrial services
NYOCOR COMPANY LIMITED,5.21,7.442M,10.346B,Utilities
SHANGHAI MATERIAL TRADING,7.41,3.391M,3.227B,Distribution services
SHANGHAI YIMIN COMMERCIAL GROUP,2.93,2.267M,3.13B,Retail trade
"SHANGHAI XINHUA MEDIA CO., LTD",3.66,9.691M,3.971B,Distribution services
DLG EXHIBITIONS & EVENTS CORPORATION LIMITED,5.12,2.183M,3.878B,Distribution services
SHANGHAI BAILIAN GROUP,7.46,5.049M,12.701B,Retail trade
MAOYE COMMERCIAL,2.37,6.464M,4.174B,Retail trade
HPGC RENMINTONGTAI PHARMACEUTICAL CORPORATION,5.3,2.669M,3.149B,Health technology
"SUNNY LOAN TOP CO.,LTD",7.42,11.233M,3.457B,Retail trade
SHAANXI BROADCAST & TV NETWORK INTERMEDIARY （GROUP）CO.LTD,1.94,17.901M,1.379B,Consumer services
SHANGHAI NO.1 PHARMACY,10.54,949.9K,2.398B,Retail trade
SHANGHAI SHENTONG METRO,7.3,10.228M,3.547B,Transportation
SHANGHAI MECHANICAL & ELECTRICAL INDUSTRY,11.15,3.884M,10.408B,Producer manufacturing
HAITONG SECURITIES COMPANY LIMITED,8.58,24.189M,94.747B,Finance
"SHANGHAI JOIN BUY CO.,LTD.",5.44,1.974M,2.229B,Retail trade
"SICHUAN CHANGHONG ELECTRIC CO.,LTD.",4.58,322.363M,21.973B,Electronic technology
SHANGHAI NEW POWER AUTOMOTIVE TECHNOLOGY COMPANY LIMITED,3.71,8.344M,4.294B,Consumer durables
SHANG GONG GROUP,8.36,81.19M,4.526B,Producer manufacturing
DANHUA CHEMICAL TECHNOLOGY,2.25,5.347M,2.022B,Process industries
SHANGHAI BAOSIGHT SOFTWARE,29.89,3.114M,69.655B,Technology services
"SHANGHAI TONGJI SCIENCE & TECHNOLOGY INDUSTRIAL CO.,LTD",6.7,2.755M,4.23B,Consumer durables
"CHONGQING WANLI NEW ENERGY CO.,LTD.",6.99,6.65M,1.065B,Process industries
SHANGHAI LINGANG HOLDINGS CORPORATION LIMITED,8.86,2.077M,21.961B,Electronic technology
"CETC DIGITAL TECHNOLOGY CO.,LTD.",15.68,3.829M,11.097B,Technology services
SHANGHAI HAIXIN GROUP,4.81,3.902M,4.318B,Process industries
"LONGJIAN ROAD & BRIDGE CO.,LTD.",2.96,7.047M,3.075B,Industrial services
"JIANGSU CHUNLAN REFRIGERATING EQUIPMENT STOCK CO.,LTD",3.73,2.83M,1.974B,Producer manufacturing
"BEIJING AEROSPACE CHANGFENG CO.,LTD.",9.29,17.849M,4.245B,Health technology
NINGBO ZHONGBAI,5.2,1.39M,1.18B,Retail trade
INZONE GROUP,3.88,2.776M,2.039B,Retail trade
WANGFUJING GROUP,12.53,16.365M,14.517B,Retail trade
BEIJING JINGCHENG MACHINERY ELECTRIC COMPANY LIMITED,7.89,4.419M,3.777B,Producer manufacturing
"FESCO GROUP CO., LTD",13.46,2.31M,7.705B,Commercial services
AVIC AVIATION HIGH-TECHNOLOGY,18.52,5.728M,26.05B,Producer manufacturing
INNER MONGOLIA MENGDIAN HUANENG THERMAL POWER CORPORATION LI,4.07,31.379M,26.369B,Utilities
"HARBIN HATOU INVESTMENT CO.,LTD",4.7,15.956M,9.966B,Utilities
"BAIDA GROUP CO.,LTD",6.36,780.601K,2.419B,Retail trade
"STAR LAKE BIOSCIENCE CO.,INC. ZHAOQING GUANGDONG",5.01,13.838M,8.39B,Consumer non-durables
"TONGHUA DONGBAO PHARMACEUTICAL CO.,LTD.",7.79,8.302M,15.335B,Health technology
"GUANGDONG MEIYAN JIXIANG HYDROPOWER CO.,LTD.",1.69,9.676M,3.246B,Utilities
"FAR EAST SMARTER ENERGY CO.,LTD",3.59,41.603M,8.434B,Producer manufacturing
SINOPEC OILFIELD SERVICE CORPORATION,1.89,47.485M,28.007B,Industrial services
"JONJEE HI-TECH INDUSTRIAL & COMMERCIAL HOLDING CO.,LTD",16.84,8.28M,13.116B,Producer manufacturing
"MEIHUA HOLDINGS GROUP CO.,LTD",9.9,9.907M,27.722B,Consumer non-durables
TIANJIN CAPITAL ENVIRONMENTAL PROTECTION GROUP,5.61,4.398M,7.912B,Industrial services
DONGFANG ELECTRIC CORPORATION LIMITED,13.87,16.393M,40.906B,Producer manufacturing
TRIUMPH NEW ENERGY COMPANY LIMITED,8.14,1.46M,4.217B,Consumer durables
CETC CHIPS TECHNOLOGY INC.,10.04,5.108M,12.09B,Producer manufacturing
CHINA AEROSPACE TIMES ELECTRONICS,7.34,39.049M,24.448B,Electronic technology
"CHENGDU B-RAY MEDIA CO.,LTD",3.56,40.32M,4.242B,Commercial services
JILIN YATAI (GROUP),1.02,47.688M,3.379B,Non-energy minerals
SHANGHAI MILKGROUND FOOD TECH,12.88,6.818M,6.619B,Consumer non-durables
"YUNNAN BOWIN TECHNOLOGY&INDUSTRY CO.,LTD.",5.27,1.225M,1.265B,Non-energy minerals
"NINGBO SHANSHAN CO.,LTD.",6.83,8.182M,15.619B,Process industries
HONGFA TECHNOLOGY CO.，LTD.,25.99,8.155M,26.818B,Producer manufacturing
"SDIC POWER HOLDINGS CO.,LTD.",16.77,19.476M,121.95B,Utilities
"INNER MONGOLIA YILI INDUSTRIAL GROUP CO.,LTD",23.03,45.232M,146.764B,Process industries
"XINJIANG JOINWORLD CO.,LTD.",6.44,5.918M,8.893B,Non-energy minerals
NANJING CHEMICAL FIBRE CO.LTD,4.8,17.334M,1.821B,Process industries
DASHENG TIMES CULTURAL INVESTMENT,3.92,21.645M,2.305B,Producer manufacturing
AECC AVIATION POWER,36.65,8.508M,89.9B,Electronic technology
"GUANGZHOU GUANGRI STOCK CO.,LTD.",9.93,6.72M,8.581B,Producer manufacturing
"SHANGHAI ZHANGJIANG HI-TECH PARK DEVELOPMENT CO.,LTD",16.93,13.715M,26.637B,Finance
"XIAMEN INTERNATIONAL AIRPORT CO.,LTD",12.58,986.46K,5.278B,Transportation
GOME TELECOM EQUIPMENT,1.49,11.845M,436.633M,Electronic technology
"CHINA YANGTZE POWER CO.,LTD.",30.24,77.938M,727.93B,Utilities
"JIANGSU FINANCIAL LEASING CO.,LTD.",4.62,44.289M,20.011B,Finance
GUIZHOU GAS GROUP CORPORATION LTD.,6.19,2.131M,7.188B,Utilities
CHINA THREE GORGES RENEWABLES (GROUP),4.68,49.247M,133.375B,Utilities
CAIDA SECURITIES CO.，LTD.,5.58,9.241M,18.496B,Finance
WUXI RURAL COMMERCIAL BANK,5.34,13.947M,11.566B,Finance
HUAAN SECURITIES,4.46,17.802M,21.28B,Finance
"CHINA NATIONAL GOLD GROUP GOLD JEWELLERY CO.,LTD",8.57,8.66M,14.414B,Consumer durables
CHONGQING GAS GROUP CORPORATION LTD.,5.21,2.563M,8.185B,Utilities
ZHONGTAI SECURITIES,5.67,12.258M,40.348B,Finance
BANK OF JIANGSU,8.12,129.334M,147.545B,Finance
JIANGSU XUKUANG ENERGY CO. LTD,4.83,4.864M,33.342B,Energy minerals
"BANK OF HANGZHOU CO.,LTD.",13.35,54.578M,77.094B,Finance
"YONGAN FUTURES CO.,LTD.",10.64,2.595M,15.866B,Finance
"BANK OF XI'AN CO.,LTD.",3.25,12.052M,14.4B,Finance
"SNOWSKY SALT INDUSTRY GROUP CO.,LTD",5.18,5.083M,8.538B,Consumer non-durables
IKD,11.65,3.378M,11.555B,Producer manufacturing
"ANHUI HWASU CO.,LTD.",2.12,4.755M,7.541B,Process industries
GUANGXI RADIO & TELEVISION INFORMAT,2,7.203M,3.426B,Consumer services
CNOOC LIMITED,27.88,24.16M,912.81B,Energy minerals
CHONGQING CONSTRUCTION ENGINEERING GROUP CORPORATION LIMITED,2.19,6.113M,4.222B,Consumer durables
CHINA MOBILE LTD,105.55,6.312M,1.492T,Communications
LIHUAYI WEIYUAN CHEMICAL,13.13,594.8K,7.337B,Process industries
CHINA SUNTIEN GREEN ENERGY CORPORATION LIMITED,6.97,2.845M,21.376B,Utilities
ORIENT SECURITIES COMPANY LIMITED,8.29,36.928M,66.158B,Finance
JIANGSU BROADCASTING CABLE INFORMATION NETWORK CORPORATION LIMITED,2.79,16.673M,14.102B,Consumer services
BOHAI AUTOMOTIVE SYSTEMS,2.57,8.593M,2.509B,Producer manufacturing
"ZHUZHOU SMELTER GROUP CO.,LTD.",7.28,9.322M,7.929B,Non-energy minerals
"SDIC ZHONGLU FRUIT JUICE CO.,LTD.",12.6,1.353M,3.322B,Consumer non-durables
YUEYANG FOREST ＆ PAPER,3.28,12.691M,5.69B,Process industries
"FORTUNE NG FUNG FOOD (HEBEI) CO., LTD",3.39,2.789M,2.792B,Distribution services
"SHANDONG BOHUI PAPER INDUSTRIAL CO.,LTD.",4.08,6.868M,5.448B,Process industries
FIRST MACHINERY GROUP,6.96,22.318M,12.515B,Electronic technology
CNOOC ENERGY TECHNOLOGY & SERVICES LIMITED,3.76,25.425M,38.627B,Energy minerals
HUNAN CHENDIAN INTERNATIONAL DEVELOPMENT SHARE-HOLDING LIMITED COMPANY,5.18,6.204M,1.924B,Utilities
"SINOMA INTERNATIONAL ENGINEERING CO.,LTD.",9.57,9.021M,25.178B,Industrial services
ANHUI HENGYUAN COAL INDUSTRY AND ELECTRICITY POWER,9.32,10.625M,11.376B,Energy minerals
BAOSHENG SCIENCE AND TECHNOLOGY INNOVATION,3.31,6.567M,4.622B,Producer manufacturing
"HUNAN NEW WELLFULL CO.,LTD.",5.57,31.639M,7.24B,Consumer non-durables
JIANMIN PHARMACEUTICAL GROUP,43.11,1.673M,6.581B,Health technology
CHINA FILM,9.82,12.368M,19.062B,Consumer services
"SICHUAN GUANGAN AAA PUBLIC CO.,LTD .",3.08,12.639M,3.924B,Utilities
"BGRIMM TECHNOLOGY CO.,LTD.",13.05,1.208M,2.214B,Producer manufacturing
JIANGSU HIGH HOPE INTERNATIONAL CORPORATION,1.58,6.305M,3.633B,Distribution services
"NINGBO ENERGY GROUP CO.,LTD.",3.44,2.679M,3.749B,Utilities
"WHIRLPOOL CHINA CO.,LTD",6.66,564.6K,5.135B,Consumer durables
"SHAANXI CONSTRUCTION MACHINERY CO.,LTD.",2.24,4.961M,2.891B,Producer manufacturing
"HUAIBEI MINING HOLDINGS CO.,LTD.",13.49,14.815M,36.305B,Energy minerals
ZHEWEN INTERACTIVE GROUP,3.94,21.471M,6.083B,Commercial services
ZHEJIANG HANGMIN,6.37,6.813M,6.54B,Process industries
"CHIFENG JILONG GOLD MINING CO.,LTD.",18.6,25.515M,31.415B,Non-energy minerals
NINGXIA BAOFENG ENERGY GROUP CO LTD,15.09,15.999M,110.147B,Process industries
"SUN-CREATE ELECTRONICS CO.,LTD",15.29,3.462M,4.236B,Electronic technology
"GUIZHOU WIRE ROPE CO.,LTD",13.49,4.551M,3.377B,Producer manufacturing
"MAYINGLONG PHARMACEUTICAL GROUP STOCK CO.,LTD.",26.26,2.78M,11.285B,Health technology
"CHINA SOUTHERN POWER GRID ENERGY STORAGE CO.,LTD",9.49,4.279M,30.65B,Utilities
"GUIZHOU BC&TV INFORMATION NETWORK CO.,LTD",7.67,13.589M,9.142B,Consumer services
KAILUAN ENERGY CHEMICAL CORPORATION LIMITED,5.96,4.235M,9.479B,Energy minerals
JOINTOWN PHARMACEUTICAL GROUP COMPANY LIMITED,4.61,21.429M,23.498B,Distribution services
"CHINA MERCHANTS SECURITIES CO.,LTD.",14.87,10.49M,117.862B,Finance
