Name,Share Price (CNY),Total Volume,Maeket Capitalization in (CNY),Industry
BEIJING NEW BLDG,24.3,7.455M,41.461B,Non-energy minerals
PKU HEALTHCARE COR,5.31,4.163M,3.206B,Health technology
JIANGXI WANNIANQIN,4.34,3.439M,3.517B,Non-energy minerals
CHENGDU HUASUN TEC,3.36,3.849M,2.139B,Health technology
GEPIC ENERGY DEVEL,5.43,7.276M,8.707B,Utilities
QINGHAI SALT LAKE,13.75,16.988M,72.933B,Process industries
HUAWEN MEDIA GROUP,1.25,115.707M,2.457B,Technology services
INNUOVO TECHNOLOGY,5.38,6.806M,6.156B,Non-energy minerals
CAISSA TOSUN DEVEL,3.04,4.651M,4.952B,Consumer services
CHINA WUYI,2.4,20.134M,3.757B,Consumer durables
CNFC OVERSEAS FISH,6.31,2.2M,2.334B,Process industries
JIUGUI LIQUOR CO,36.23,4.678M,12.247B,Consumer non-durables
FAW JIEFANG GROUP,7.67,7.118M,35.701B,Consumer durables
SICHUAN JIUZHOU EL,8.76,18.021M,9.164B,Consumer durables
BEIJING JINGXI CUL,4.73,2.824M,3.438B,Consumer services
SHANDONG HIGH SPEE,3.19,2.683M,1.503B,Consumer non-durables
YUNNAN ALUMINIUM,11.39,23.105M,40.159B,Non-energy minerals
LIAONING HEZHAN EN,2.02,1.992M,1.699B,Finance
SKYWORTH DIGITAL C,10.58,162.046M,11.063B,Electronic technology
MOON ENVIRONMENT T,7.86,9.162M,6.132B,Producer manufacturing
SHAANXI JINYE SCIE,3.46,13.662M,2.69B,Commercial services
DEZHAN HEALTHCARE,2.29,14.367M,5.038B,Health technology
MCC MEILI CLOUD CO,6.7,8.985M,4.839B,Producer manufacturing
JIANGSU NONGHUA IN,1.78,18.748M,2.561B,Producer manufacturing
HANGJIN TECHNOLOGY,15.6,7.833M,10.838B,Process industries
YUEYANG XINGCHANG,16.02,9.783M,5.727B,Process industries
SHENWU ENERGY SAVI,2.67,39.028M,1.676B,Industrial services
JS CORRUGATING MAC,9.75,13.451M,6.423B,Producer manufacturing
SHANDONG HAIHUA CO,5.33,4.299M,4.869B,Process industries
GUANGDONG GOWORLD,7.43,6.464M,4.092B,Electronic technology
SHANXI TAIGANG ST,3.35,14.775M,19.307B,Non-energy minerals
TUS ENVIRONMENTAL,1.44,18.532M,2.102B,Industrial services
DONGGUAN DEVELOPME,9.49,15.412M,10.198B,Transportation
TELLING TELECOMMUN,8.04,29.063M,8.495B,Distribution services
LUXI CHEMICAL GP,10.59,7.55M,20.324B,Process industries
CHINA RARE EARTH R,21.29,8.237M,23.251B,Non-energy minerals
GUANGXI YUEGUI GUA,5.08,5.26M,4.123B,Process industries
QINCHUAN MACHINE T,6.96,8.209M,7.2B,Producer manufacturing
CASIN REAL ESTATE,2.06,8.598M,2.32B,Finance
CITIC GUOAN INFO,2.17,20.785M,8.663B,Electronic technology
CHENG DE LOLO CO L,7.72,5.485M,7.976B,Consumer non-durables
ANHUI HUAMAO TEXTI,3.13,8.269M,2.906B,Process industries
GOHIGH NETWORKS CO,2.21,76.113M,2.376B,Electronic technology
SINOPEC OILFIELD E,5.15,2.898M,4.934B,Producer manufacturing
TANGSHAN JIDONG EQ,5.65,4.353M,1.301B,Producer manufacturing
WULIANGYE YIBIN CO,120.99,18.529M,474.33B,Consumer non-durables
ANHUI GUOFENG NEW,3.09,6M,2.822B,Process industries
BEIJING SHUNXIN HO,15.56,14.267M,11.942B,Process industries
NING XIA YIN XING,4.05,3.692M,3.745B,Utilities
SANXIANG IMPRESSIO,3.66,41.492M,4.163B,Finance
ANHUI ANKAI AUTOMO,4.46,22.997M,4.331B,Consumer durables
YANTAI CHANG YU PI,20.03,2.761M,11.587B,Consumer non-durables
JILIN ELECTRIC POW,4.63,17.743M,13.03B,Utilities
NEW HOPE LIUHE CO,9,13.622M,40.655B,Process industries
TIANSHAN MATERIAL,4.71,7.751M,34.699B,Non-energy minerals
YUNNAN COPPER CO.,10.83,13.884M,22.06B,Non-energy minerals
WEICHAI HEAVY MACH,8.59,18.976M,2.902B,Producer manufacturing
CGN NUCLEAR TECHNO,6,5.685M,5.729B,Producer manufacturing
BEIJ. HUAL. DEP.,1.13,31.362M,3.093B,Finance
HUBEI ENERGY GR CO,4.97,14.627M,32.18B,Producer manufacturing
CITY DEVELOPMENT E,10.93,6.299M,7.365B,Consumer durables
HAINAN EXPRESSWAY,4.26,6.969M,4.242B,Industrial services
ANHUI ZHONGDING SE,10.61,5.619M,13.971B,Producer manufacturing
EMEI SHAN TOURISM,11.83,16.078M,6.37B,Consumer services
ZJBC INFORMATION T,1.66,18.3M,1.598B,Consumer services
JIANGSU FASTEN CO,2.51,12.041M,1.091B,Producer manufacturing
H AND R CENTURY UN,2.53,12.441M,2.57B,Electronic technology
ASIA-POTASH INTERN,16.42,4.047M,15.438B,Non-energy minerals
HENAN SHUANG INVE,22.98,6.287M,79.237B,Consumer non-durables
TIANJIN JINBIN DEV,2.01,17.8M,3.251B,Finance
ANGANG STEEL CO LT,2.04,19.31M,17.87B,Non-energy minerals
JIANGXI GANNENG CO,7.75,9.171M,7.688B,Utilities
XIANDAI INVEST CO,3.8,7.915M,5.783B,Transportation
AEROSPACE HI-TECH,10.06,135.131M,7.711B,Producer manufacturing
YONFER AGRIC TECH,11.72,5.153M,14.242B,Process industries
KUNMING YUNNEI POW,1.69,11.925M,3.286B,Producer manufacturing
XIAMEN PORT DEV,5.6,2.475M,4.162B,Transportation
ZHESHANG DEVELOPME,5.91,3.084M,4.213B,Distribution services
HUNAN JINGFENG PHA,3.27,3.707M,2.736B,Health technology
SOYEA TECHNOLOGY,3.63,4.848M,1.62B,Consumer durables
DARE POWER DEKOR H,5.87,1.152M,3.273B,Non-energy minerals
GUANGXI RURAL INV,6.04,1.685M,2.454B,Consumer non-durables
SICHUAN LUTIANHU,3.39,3.821M,5.347B,Process industries
ZHEJIANG QIANJIANG,14.22,3.937M,7.575B,Consumer durables
SHANDONG WIT DYNE,26.04,1.512M,6.132B,Health technology
HUNAN TV & BROADCA,4.76,14.945M,6.917B,Commercial services
JINLING PHARMACEUT,6.35,2.634M,3.999B,Health technology
VONTRON TECHNOLOGY,7,2.076M,3.36B,Producer manufacturing
HISENSE HOME APPL.,23.29,11.328M,29.792B,Consumer durables
HARBIN ELECT CO JI,10.27,10M,6.188B,Producer manufacturing
HBIS RESOURCES CO,13.01,5.427M,8.616B,Non-energy minerals
UNITTEC CO LTD,5.49,5.827M,3.773B,Electronic technology
