Name,Stock Price,Market cap,Percentage change,Industry
PANKAJ PIYUSH TRADE AND I         ,307.95,14.73L,138.44%,
GOWRA LEASING FINANCE LIM         ,42.2,14.68L,10.67%,
GALAXY AGRICO EXPORTS LIM         ,45,14.67L,20.71%,
GCM CAPITAL ADVISORS LIMI         ,7.21,14.65L,40.27%,Other Investment Management & Fund Operators
SIROHIA SONS LIMITED         ,11.97,14.65L,54.05%,Agricultural Chemicals Wholesale
BHAGAWATI OXYGEN LIMITED         ,51.02,14.6L,-13.63%,
SAILANI TOURS N TRAVELS L          ,26,14.59L,8.24%,Travel Agents
GLITTEK GRANITES LIMITED         ,4.8,14.56L,28.00%,Tile & Paving Material Manufacturing
SHREE MANUFACTURING COMPA         ,14.51,14.37L,-10.65%,
AANCHAL ISPAT LIMITED         ,5.71,14.36L,-32.02%,"Iron, Steel Mills & Foundries"
MVL LIMITED         ,0.2,14.35L,-.--%,Other Real Estate Development & Operations
PHYTO CHEM INDIA LIMITED         ,28.7,14.35L,-45.82%,Other Agricultural Chemicals
BCL ENTERPRISES LIMITED          ,1.03,14.33L,0.00%,Other Consumer Lending
UNIVA FOODS LIMITED        ,8.38,14.32L,50.99%,Other Business Support Services
NATIONAL PLYWOOD INDUSTRI         ,4.86,14.32L,-13.21%,Wood Products
NAVIGANT CORPORATE ADVISO          ,37.9,14.26L,40.37%,Diversified Investment Services
SHARPLINE BROADCAST LIMIT          ,6.87,14.25L,-21.49%,
KALYANI COMMERCIALS LIMIT         ,119.3,14.23L,-.--%,
SEASONS TEXTILES LIMITED         ,16.25,14.21L,-4.13%,
RANDER CORPORATION LIMITE         ,9.45,14.19L,4.77%,
VANI COMMERCIALS LIMITED         ,10.49,14.18L,-0.57%,Other Corporate Financial Services
SHANGAR DECOR LIMITED          ,9.5,14.15L,64.93%,
BAZEL INTERNATIONAL LIMIT          ,63.48,14.07L,98.38%,
ARUNIS ABODE LIMITED         ,39.54,14.03L,1.38%,
C J GELATINE PRODUCTS LIM         ,25.3,14.03L,6.08%,
CREATIVE EYE LIMITED        ,5.97,14.02L,47.41%,"Movie, TV Production & Distribution"
POLYCON INTERNATIONAL LIM         ,24,14L,66.32%,
PHOTON CAPITAL ADVISORS L         ,77.5,14L,14.51%,Other Investment Management & Fund Operators
SRU STEELS LIMITED          ,9.74,13.97L,-4.23%,Metal Merchant Wholesale
SANTOSH FINE FAB LIMITED         ,33.2,13.96L,7.69%,
RADAAN MEDIAWORKS INDIA L        ,2.05,13.96L,7.89%,"Movie, TV Production & Distribution"
PREMIER SYNTHETICS LIMITE         ,26.69,13.95L,0.41%,Yarn Goods
OSWAL YARNS LIMITED         ,29.74,13.95L,425.44%,
BLUE COAST HOTELS LIMITED        ,8.71,13.95L,43.97%,"Other Hotels, Motels & Cruise Lines"
SHYAMKAMAL INVESTMENTS LI         ,12.33,13.91L,85.14%,
OBJECTONE INFORMATION SYS         ,11.64,13.91L,-43.93%,Other IT Services & Consulting
KUWER INDUSTRIES LIMITED         ,12.81,13.87L,-12.86%,
SATHAVAHANA ISPAT LIMITED        ,2.28,13.85L,-.--%,Other Steel
SEVEN HILL INDUSTRIES LIM         ,0.88,13.81L,31.34%,
EASTCOAST STEEL LIMITED         ,20.35,13.78L,13.75%,Metal Merchant Wholesale
V B INDUSTRIES LIMITED         ,9.19,13.7L,43.82%,Other Corporate Financial Services
SHIVAGRICO IMPLEMENTS LIM         ,24,13.69L,-12.66%,
VIRGO GLOBAL LIMITED         ,10.68,13.65L,30.88%,
WELTERMAN INTERNATIONAL L         ,27.01,13.63L,59.35%,Leather Goods
SC AGROTECH LIMITED         ,18.79,13.59L,36.65%,
CDG PETCHEM LIMITED         ,37.68,13.57L,-1.23%,
SHUKRA JEWELLERY LIMITED         ,8.36,13.54L,-21.87%,Jewelry
SHOORA DESIGNS LIMITED          ,75.6,13.52L,54.13%,
BINDAL EXPORTS LIMITED         ,24.61,13.51L,46.31%,Other Textiles & Leather Goods
ENCASH ENTERTAINMENT LIMI         ,29,13.48L,-3.33%,Other Entertainment Production
GALLOPS ENTERPRISE LIMITE         ,23.4,13.45L,10.27%,
JINDAL COTEX LIMITED        ,2.5,13.42L,-.--%,Other Textiles & Leather Goods
PYXIS FINVEST LIMITED         ,9.76,13.4L,4.95%,Other Corporate Financial Services
SOMA PAPERS INDUSTRIES LI          ,80,13.38L,407.29%,
TRITON CORP LIMITED         ,0.56,13.36L,27.27%,Other IT Services & Consulting
MINAXI TEXTILES LIMITED         ,2.15,13.33L,23.56%,Other Textiles & Leather Goods
INTEGRATED PROTEINS LIMIT         ,34.85,13.32L,102.03%,
SENTHIL INFOTEK LIMITED         ,22,13.26L,-5.74%,
MILLENNIUM ONLINE SOLUTIO         ,2.22,13.19L,1.83%,
RACONTEUR GLOBAL RESOURCE          ,21,13.06L,-11.43%,"Movie, TV Production & Distribution"
VKJ INFRADEVELOPERS LIMIT         ,0.44,13.06L,-8.33%,Other Real Estate Development & Operations
SPAN DIVERGENT LIMITED         ,20.01,13.04L,36.40%,"Vegetable, Fruit & Nut Farming"
JIYA ECO PRODUCTS LIMITED         ,3.61,12.95L,-.--%,Other Renewable Fuels
SHAKTI PRESS LIMITED          ,30.79,12.93L,307.81%,
JOINTECA EDUCATION SOLUTI         ,10.2,12.82L,9.80%,Application Software
EURO LEDER FASHION LIMITE         ,22.8,12.81L,14.00%,
LONGSPUR INTERNATIONAL VE         ,7.97,12.8L,-24.02%,Diversified Industrial Goods Wholesale
DEVINE IMPEX LIMITED         ,11.25,12.8L,60.71%,
VIAAN INDUSTRIES LIMITED         ,0.97,12.76L,-98.53%,Diversified Industrial Goods Wholesale
DECILLION FINANCE LIMITED         ,30.55,12.76L,103.53%,
INANI SECURITIES LIMITED         ,24.24,12.76L,-29.74%,
RGF CAPITAL MARKETS LIMIT          ,0.72,12.71L,18.03%,
DHRUV WELLNESS LIMITED         ,10.59,12.69L,-22.08%,Other Drug Retailers
SWAGTAM TRADING SERVICES           ,84.8,12.66L,24.25%,
NET PIX SHORTS DIGITAL ME          ,33,12.6L,9.82%,
SETUBANDHAN INFRASTRUCTUR         ,0.84,12.6L,12.00%,Other Construction & Engineering
IYKOT HITECH TOOLROOM LIM         ,18.18,12.57L,-20.61%,
ADLINE CHEM LAB LIMITED         ,18.37,12.57L,-31.43%,Generic Pharmaceuticals
MIPCO SEAMLESS RINGS GUJA         ,30.85,12.54L,-10.94%,
CHEMO PHARMA LABORATORIES         ,72.83,12.54L,11.74%,
GOENKA BUSINESS FINANCE L         ,8.23,12.52L,26.62%,Other Investment Banking & Brokerage Services
GANGA PHARMACEUTICALS LIM         ,19.57,12.51L,-31.31%,Other Pharmaceuticals
CHEMIESYNTH VAPI LIMITED          ,34.14,12.51L,62.57%,
TULASEE BIO ETHANOL LIMIT         ,17.74,12.47L,-28.61%,Ethanol Fuels
SUBHASH SILK MILLS LIMITE         ,24.6,12.45L,-13.87%,
ADINATH EXIM RESOURCES LI         ,23.92,12.43L,-4.01%,Other Investment Management & Fund Operators
QUANTUM BUILD TECH LIMITE         ,4,12.41L,0.25%,
VCU DATA MANAGEMENT LIMIT         ,6.65,12.3L,-23.65%,Other Entertainment Production
HINDUSTAN DORR OLIVER LIM        ,1.22,12.28L,-.--%,Industrial Machinery
GSB FINANCE LIMITED         ,17.82,12.23L,31.51%,
GUJARAT COTEX LIMITED         ,7.05,12.22L,33.52%,Other Textiles & Leather Goods
FONE  COMMUNICATIONS INDI          ,6.6,12.21L,57.14%,Internet & Mail Order Department Stores
INDO GLOBAL ENTERPRISES L          ,16,12.16L,-.--%,
K Z LEASING AND FINANCE L         ,31.83,12.16L,16.04%,
INNOVATIVE TYRES TUBES LI         ,5.65,12.13L,-99.16%,Tire & Tube Manufacturers
KANDAGIRI SPINNING MILLS          ,25.02,12.09L,45.55%,Textiles & Leather Goods Wholesale
PARENTERAL DRUGS INDIA LI         ,3.39,12.06L,-.--%,Other Pharmaceuticals
RAJATH FINANCE LIMITED         ,25.21,12.03L,21.44%,Other Consumer Lending
ABHINAV LEASING AND FINAN         ,1.97,11.99L,-26.77%,Other Corporate Financial Services
GAGAN GASES LIMITED         ,23.31,11.97L,22.68%,
FGP LIMITED         ,9.2,11.92L,22.50%,Other Real Estate Development & Operations
RLF LIMITED         ,10.5,11.92L,-11.39%,
TAPARIA TOOLS LIMITED         ,6.57,11.9L,114.71%,
TRIDENT TOOLS LIMITED         ,7.05,11.87L,-.--%,
MUNOTH COMMUNICATION LIMI         ,9.78,11.85L,-18.50%,
ACCORD SYNERGY LIMITED         ,27.2,11.83L,7.72%,Other Construction & Engineering
VAGHANI TECHNO BUILD LIMI         ,18.98,11.82L,26.36%,
WELCURE DRUGS PHARMACEUTI         ,7.33,11.82L,90.39%,Pharmaceuticals Wholesale
MAHAN INDUSTRIES LIMITED         ,2.88,11.81L,185.15%,Other Corporate Financial Services
DHYAANI TRADEVENTTURES LI          ,23.12,11.74L,-24.57%,Other Textiles & Leather Goods
NAKSH PRECIOUS METALS LIM         ,9.44,11.72L,-53.95%,"Other Auto Vehicles, Parts & Service Retailers"
SYMBIOX INVESTMENT TRADIN         ,3.29,11.72L,7.87%,Women's Clothing
SIDDHA VENTURES LIMITED         ,9.85,11.71L,-8.71%,
HARIA EXPORTS LIMITED         ,8.46,11.66L,73.01%,
OTCO INTERNATIONAL LIMITE         ,7.34,11.6L,14.69%,
NCC BLUEWATER PRODUCTS LI         ,12.65,11.58L,54.27%,
KUMBHAT FINANCIAL SERVICE         ,20.9,11.56L,34.58%,
ANS INDUSTRIES LIMITED         ,10.46,11.55L,-4.47%,
OLYMPIC OIL INDUSTRIES LI         ,33.65,11.54L,91.96%,"Starch, Vegetable Fat & Oil Manufacturing"
UNITY INFRAPROJECTS LIMIT        ,0.8,11.54L,-.--%,Other Construction & Engineering
VAXTEX COTFAB LIMITED         ,0.72,11.45L,-50.34%,Other Textiles & Leather Goods
RAMGOPAL POLYTEX LIMITED         ,6.6,11.42L,-1.05%,
SANCHAY FINVEST LIMITED          ,30.18,11.4L,-51.07%,
DR LALCHANDANI LABS LIMIT          ,22,11.37L,3.63%,Medical & Diagnostic Laboratories
FLORA CORPORATION LIMITED          ,11.4,11.36L,-4.92%,
SABRIMALA INDUSTRIES INDI          ,11.15,11.34L,106.48%,
THE INDIAN LINK CHAIN MAN         ,180.45,11.33L,0.99%,
SUUMAYA CORPORATION LIMIT          ,4.19,11.33L,-50.18%,Diversified Industrial Goods Wholesale
MERCURY TRADE LINKS LIMIT         ,35.42,11.28L,1042.58%,
RAMA PETROCHEMICALS LIMIT         ,9.03,11.28L,63.29%,
MONIND LIMITED         ,25.65,11.27L,25.80%,
ALKA SECURITIES LIMITED         ,0.89,11.25L,-.--%,Shell Companies
KIRAN PRINT PACK LIMITED         ,18.28,11.25L,66.18%,
BACIL PHARMA LIMITED         ,16.71,11.19L,161.91%,
AMIT INTERNATIONAL LIMITE         ,4.69,11.15L,34.00%,
SUPREME TEX MART LIMITED         ,0.57,11.15L,-.--%,Yarn Goods
FIRST FINTEC LIMITED         ,8.73,11.05L,30.69%,
KMF BUILDERS AND DEVELOPE         ,7.5,11.05L,65.93%,
PEETI SECURITIES LIMITED         ,24.55,10.99L,5.59%,
SREE JAYALAKSHMI AUTOSPIN         ,20.81,10.91L,433.59%,Yarn Goods
SERVOTEACH INDUSTRIES LIM         ,24.14,10.86L,4.23%,
JET INFRAVENTURE LIMITED         ,20.55,10.85L,92.78%,Residential Real Estate Development
NEXUS SURGICAL AND MEDICA         ,17.41,10.85L,50.74%,"Other Medical Equipment, Supplies & Distribution"
NOUVEAU GLOBAL VENTURES L         ,0.49,10.85L,-15.52%,Other Entertainment Production
EDYNAMICS SOLUTIONS LIMIT         ,3.22,10L,78.89%,Other Miscellaneous Specialty Retailers
SHREE SALASAR INVESTMENTS         ,13.89,10L,4.99%,
J J FINANCE CORPORATION L         ,30.5,10L,83.62%,
DQ ENTERTAINMENT INTERNAT         ,1.03,10L,-.--%,Other Entertainment Production
UNION QUALITY PLASTICS LI         ,11.78,10L,-13.89%,
JONJUA OVERSEAS LIMITED          ,10.76,10L,-2.27%,Other Business Support Services
RICH UNIVERSE NETWORK LIM         ,10.71,10L,-42.73%,
TRANWAY TECHNOLOGIES LIMI          ,7.29,10L,-8.30%,Other Business Support Services
SHRI NIWAS LEASING FINANC         ,20.28,10L,26.75%,
UNIVERSAL OFFICE AUTOMATI         ,5.78,10L,12.67%,Office Supplies Wholesale
PROMACT IMPEX LIMITED         ,12.2,10L,80.47%,
VINAYAK POLYCON INTERNATI         ,25.83,9L,4.62%,Plastic Containers & Packaging
RAHUL MERCHANDISING LIMIT         ,22.56,9L,62.42%,
HINDUSTAN BIO SCIENCES LI         ,8.47,9L,-5.04%,
QUASAR INDIA LIMITED         ,14.77,9L,-22.83%,Metal Merchant Wholesale
JAYATMA INDUSTRIES LIMITE         ,12.09,9L,-21.49%,
NEELKANTH ROCKMINERALS LI         ,16.09,9L,47.07%,
SANCO INDUSTRIES LIMITED         ,5.67,9L,-11.41%,Other Electrical Components & Equipment
CONTAINERWAY INTERNATIONA          ,11.92,9L,33.63%,
VISION CORPORATION LIMITE         ,3.75,9L,1.35%,
USHAKIRAN FINANCE LIMITED         ,29.03,9L,19.71%,
THIRANI PROJECTS LIMITED         ,3.7,9L,-9.98%,Other Corporate Financial Services
ARAVALI SECURITIES FINANC         ,5.05,9L,39.12%,Other Corporate Financial Services
SRI AMARNATH FINANCE LIMI         ,7.77,9L,-.--%,
AGARWAL FORTUNE INDIA LIM         ,21,9L,-6.91%,
EASUN REYROLLE LIMITED         ,2.5,9L,-.--%,Other Electrical Components & Equipment
PARKER AGROCHEM EXPORTS L         ,16.04,9L,-24.09%,
SHANTAI INDUSTRIES LIMITE         ,48.53,9L,27.71%,
RCI INDUSTRIES TECHNOLOGI         ,5.08,9L,-0.59%,Electric Equipment Wholesale
RIGA SUGAR COMPANY LIMITE         ,5.25,9L,-.--%,Other Food Processing
KABRA COMMERCIAL LIMITED          ,25.77,9L,-.--%,
STEELCO GUJARAT LIMITED         ,1.76,9L,-.--%,"Iron, Steel Mills & Foundries"
PACT INDUSTRIES LIMITED         ,1.36,9L,-.--%,
STANPACKS INDIA LIMITED         ,12.5,9L,29.27%,
SHASHANK TRADERS LIMITED          ,24.21,9L,33.46%,
VAXFAB ENTERPRISES LIMITE          ,9.25,9L,-43.94%,Other Construction Supplies & Fixtures
AGRIMONY COMMODITIES LIMI         ,6.57,9L,-.--%,Other Financial & Commodity Market Operators
HASTI FINANCE LIMITED         ,6.88,9L,-19.15%,Other Consumer Lending
KOBO BIOTECH LIMITED         ,3.15,9L,1.61%,Other Pharmaceuticals
CLIO INFOTECH LIMITED         ,6.42,9L,34.03%,Other IT Services & Consulting
NUTRICIRCLE LIMITED         ,259.65,9L,26.47%,
WHERRELZ IT SOLUTIONS LIM          ,190.6,9L,57.91%,
SUNGOLD CAPITAL LIMITED         ,3.83,9L,81.52%,Other Corporate Financial Services
SWORD EDGE COMMERCIALS LI         ,0.33,9L,3.12%,
UMIYA TUBES LIMITED          ,7.71,9L,21.23%,Metallic Rolling & Drawing Products
ORTEL COMMUNICATIONS LIMI         ,2.23,9L,123.00%,Other Broadcasting
MILESTONE FURNITURE LIMIT         ,8.29,9L,63.19%,Furniture
GANON PRODUCTS LIMITED         ,9.44,9L,-40.63%,Other Textiles & Leather Goods
MPS PHARMAA LIMITED         ,3.84,9L,37.63%,
VXL INSTRUMENTS LIMITED         ,5.5,9L,-7.56%,Other Computer Hardware
AGIO PAPER INDUSTRIES LIM         ,4.76,9L,17.82%,
VARDHMAN CONCRETE LIMITED         ,10.43,9L,21.70%,Other Construction & Engineering
AVI PRODUCTS INDIA LIMITE         ,21.95,9L,-29.17%,
ZICOM ELECTRONIC SECURITY         ,1.77,9L,-.--%,Security Services
G K CONSULTANTS LIMITED         ,14.4,9L,42.57%,
MULTIPLUS HOLDINGS LIMITE         ,32.8,9L,-.--%,Brokerage Services
WORLDWIDE ALUMINIUM LIMIT         ,21.06,9L,49.89%,Aluminum Wholesale
CONTINENTAL CONTROLS LIMI         ,12.28,9L,94.00%,
SDC TECHMEDIA LIMITED         ,11.14,9L,11.40%,Other Entertainment Production
JAIN MARMO INDUSTRIES LIM         ,23,9L,6.33%,
TRICOM INDIA LIMITED         ,-,9L,-.--%,Other IT Services & Consulting
TELECANOR GLOBAL LIMITED         ,6.43,9L,-21.59%,
NUTRAPLUS INDIA LIMITED         ,2.1,9L,-.--%,Other Pharmaceuticals
VINTAGE SECURITIES LIMITE         ,17.95,9L,44.87%,
SURYO FOODS INDUSTRIES LI         ,18.2,9L,23.06%,
PACHELI INDUSTRIAL FINANC         ,19.07,8L,22.01%,
KORE FOODS LIMITED         ,6.36,8L,-17.51%,Shell Companies
AMBASSADOR INTRA HOLDINGS          ,34.27,8L,46.45%,Natural Fabrics
CMI LIMITED         ,4.62,8L,-22.35%,Wires & Cables
SHESHADRI INDUSTRIES LIMI         ,15.04,8L,-5.65%,
GOLKONDA ALUMINIUM EXTRUS         ,13.58,8L,-6.34%,Other Aluminum
RCC CEMENTS LIMITED         ,12.56,8L,-.--%,
CHROMATIC INDIA LIMITED         ,0.99,8L,-.--%,Other Specialty Chemicals
N N TECHNOLOGIES LIMITED         ,22.84,8L,2.24%,Other IT Services & Consulting
STANDARD SHOE SOLE AND MO         ,13.53,8L,27.40%,
TRIO MERCANTILE TRADING L         ,1.04,8L,11.83%,Brokerage Services
ADVANCE SYNTEX LIMITED         ,6.6,8L,-29.79%,Other Commodity Chemicals
ASHRAM ONLINE COM LIMITED         ,5.72,8L,10.64%,
INCON ENGINEERS LIMITED         ,15.26,8L,8.15%,
BEEYU OVERSEAS LIMITED         ,4.91,8L,78.55%,Shell Companies
BIJOY HANS LIMITED          ,23,8L,10.00%,
JAIN STUDIOS LIMITED        ,2.4,8L,-.--%,Other Broadcasting
GLEAM FABMAT LIMITED          ,6.88,8L,280.11%,Aluminum Wholesale
MEGA NIRMAN INDUSTRIES LI          ,18.65,8L,34.75%,Other Precious Metals & Minerals
UNISHIRE URBAN INFRA LIMI         ,2.89,8L,-25.71%,Other Investment Banking & Brokerage Services
NIHAR INFO GLOBAL LIMITED         ,6.89,8L,9.19%,
INTEGRATED HITECH LIMITED         ,7,8L,-33.65%,Enterprise Software
RAMCHANDRA LEASING AND FI         ,1.32,8L,48.31%,Other Corporate Financial Services
MAFIA TRENDS LIMITED          ,15.88,8L,-7.19%,Men's Apparel Retailers
BGIL FILMS TECHNOLOGIES L         ,5.71,8L,16.53%,
CHANDRIMA MERCANTILES LIM          ,30.08,8L,312.62%,
HYPERSOFT TECHNOLOGIES LI          ,15.94,8L,85.35%,
IGC INDUSTRIES LIMITED          ,30.04,8L,-43.29%,
AMANAYA VENTURES LIMITED          ,18,8L,5.57%,Inter-Dealer Broker
SIMPLEX PAPERS LIMITED         ,"2,345.05",8L,57.08%,Paper Packaging Wholesale
PRO CLB GLOBAL LIMITED          ,12.47,8L,30.99%,
SATIATE AGRI LIMITED          ,22.89,8L,-.--%,
WILLIAMSON FINANCIAL SERV         ,8.05,8L,20.87%,Other Corporate Financial Services
INDIA GREEN REALITY LIMIT         ,5.24,8L,-.--%,Other Real Estate Development & Operations
M P AGRO INDUSTRIES LIMIT         ,12.04,8L,35.13%,
STURDY INDUSTRIES LIMITED         ,0.43,8L,-15.69%,Agricultural Machinery
MATHEW EASOW RESEARCH SEC         ,10,8L,49.48%,Other Corporate Financial Services
OSWAL OVERSEAS LIMITED         ,5.14,8L,10.06%,
MAHIP INDUSTRIES LIMITED          ,3.43,8L,-.--%,Other Paper Packaging
ISTREET NETWORK LIMITED         ,3.04,8L,21.60%,Other Internet Services
DHENU BUILDCON INFRA LIMI         ,3.66,8L,90.62%,Other Corporate Financial Services
PANKAJ POLYMERS LIMITED         ,11.27,8L,57.62%,
BHARAT TEXTILES AND PROOF         ,11.21,8L,69.59%,
NUTECH GLOBAL LIMITED         ,20.85,8L,-32.74%,
FACOR STEELS LIMITED         ,0.27,8L,-.--%,"Iron, Steel Mills & Foundries"
SGN TELECOMS LIMITED          ,0.8,8L,45.45%,
SILVER PEARL HOSPITALITY           ,8.33,8L,-3.14%,Hotels & Motels
RAGHUNATH INTERNATIONAL L         ,13.1,8L,9.26%,
EAST BUILDTECH LIMITED         ,34.72,8L,36.96%,
WOODSVILLA LIMITED         ,10.83,8L,26.96%,
VAS INFRASTRUCTURE LIMITE         ,4.39,8L,-2.01%,Other Real Estate Development & Operations
IND AGIV COMMERCE LIMITED         ,65,8L,55.99%,
HANMAN FIT LIMITED         ,5.88,8L,60.66%,"Gyms, Fitness and Spa Centers"
MELSTAR INFORMATION TECHN         ,4.32,8L,3.85%,Other IT Services & Consulting
SOPHIA TRAEXPO LIMITED          ,12.58,8L,-.--%,
CHD CHEMICALS LIMITED          ,6.13,8L,11.45%,Other Specialty Chemicals
VOLTAIRE LEASING FINANCE          ,16.01,8L,38.26%,
SVARNIM TRADE UDYOG LIMIT          ,26.48,8L,-22.84%,Textiles & Leather Goods Wholesale
OMNIPOTENT INDUSTRIES LIM          ,10.4,8L,14.54%,Highway & Bridge Construction
ASHIANA AGRO INDUSTRIES L         ,14.67,8L,40.38%,
RAMASIGNS INDUSTRIES LIMI         ,2.32,8L,-10.08%,Industrial Machinery
SPICY ENTERTAINMENT AND M         ,3.86,8L,-.--%,Other Entertainment Production
WAGEND INFRA VENTURE LIMI         ,1.33,8L,40.00%,Other Investment Management & Fund Operators
SHRI RAM SWITCHGEARS LIMI         ,10.1,8L,27.85%,Other Heavy Electrical Equipment
MANOR ESTATES AND INDUSTR         ,7.65,8L,56.44%,Other Construction & Engineering
MAYUR FLOORINGS LIMITED          ,11.75,7L,15.08%,
AADI INDUSTRIES LIMITED          ,6.11,7L,16.83%,Other Non-Paper Containers & Packaging
NAVODAY ENTERPRISES LIMIT          ,8,7L,0.63%,
UNITED LEASING INDUSTRIES         ,20.5,7L,20.52%,Consumer Leasing
ALCHEMIST CORPORATION LIM         ,13.04,7L,-14.10%,
ATHENA CONSTRUCTIONS LIMI         ,7.73,7L,-48.47%,Residential Builders - Multifamily Homes
CHAMBAL BREWERIES DISTILL         ,8.53,7L,0.83%,
GOVIND RUBBER LIMITED         ,2.78,7L,-.--%,Tire & Tube Manufacturers
OLYMPIC CARDS LIMITED         ,3.99,7L,-11.53%,Other Commercial Printing Services
ELANGO INDUSTRIES LIMITED         ,12.56,7L,60.61%,Other Business Support Services
CITIPORT FINANCIAL SERVIC         ,20,7L,-4.76%,
EXPLICIT FINANCE LIMITED         ,6.8,7L,10.21%,Other Investment Management & Fund Operators
TRIDEV INFRAESTATES LIMIT         ,9.42,7L,314.98%,
REI SIX TEN RETAIL LIMITE         ,-,7L,-.--%,Other Food Retail & Distribution
FENOPLAST LIMITED         ,13.04,7L,-.--%,Other Non-Paper Containers & Packaging
CAPRICORN SYSTEMS GLOBAL          ,15.75,7L,31.14%,
PUROHIT CONSTRUCTION LIMI         ,13.6,7L,5.67%,
HIT KIT GLOBAL SOLUTIONS          ,1.29,7L,41.76%,
C C CONSTRUCTIONS LIMITED        ,2.35,7L,-.--%,Highway & Bridge Construction
JETMALL SPICES MASALA LIM          ,10.45,7L,-45.99%,
AFLOAT ENTERPRISES LIMITE          ,13.09,7L,5.14%,Metal Merchant Wholesale
ESKAY K N IT INDIA LIMITE         ,0.21,7L,-.--%,Yarn Goods
GUJARAT METALLIC COAL COK         ,30,7L,42.86%,Coal Wholesale
ARYAN SHARE STOCK BROKERS          ,20,7L,-11.15%,
TRANSPACT ENTERPRISES LIM          ,150.5,7L,-60.91%,Other Advanced Medical Equipment & Technology
PRASHANT INDIA LTD         ,13.9,7L,5.06%,Carpets & Curtains
CORAL NEWSPRINTS LIMITED         ,13,7L,37.28%,
SUNRAJ DIAMOND EXPORTS LI         ,10.52,7L,57.72%,
JMG CORPORATION LIMITED         ,2.54,7L,14.93%,Other Business Support Services
MAHALAXMI SEAMLESS LIMITE         ,10.56,7L,1.05%,"Iron, Steel Mills & Foundries"
MODELLA WOOLLENS LIMITED         ,67.2,7L,-4.01%,
