Name,Stock_price,Currency,Market Valuation,variation,Industry
GULF INSURANCE GROUP K.S.C.P.,1.188,KWD,110.66Cr,-36.81%,Other Multiline Insurance & Brokers
HAREL INSURANCE INVESTMENTS & FINANCIAL SERVICES LTD,"3,636.00",ILa,200.85Cr,25.68%,Other Multiline Insurance & Brokers
I.D.I. INSURANCE COMPANY LTD.,"11,740.00",ILa,46Cr,20.45%,Other Multiline Insurance & Brokers
JORDAN FRENCH INSURANCE CO. (P.L.C.),0.67,JOD,86.01L,11.67%,Other Multiline Insurance & Brokers
JORDAN INSURANCE COMPANY,1.1,JOD,46.55M,0.00%,Other Multiline Insurance & Brokers
JORDAN INTERNATIONAL INSURANCE COMPANY,0.52,JOD,1.33Cr,4.00%,Other Multiline Insurance & Brokers
LIVA GROUP SAOG,0.33,OMR,341M,-1.49%,Other Multiline Insurance & Brokers
LIVA INSURANCE COMPANY,18.74,SAR,205M,6.00%,Other Multiline Insurance & Brokers
MENORA MIVTACHIM HOLDINGS LTD,"9,991.00",ILa,169.69Cr,7.06%,Other Multiline Insurance & Brokers
MIDDLE EAST INSURANCE CO.,1.19,JOD,37.01M,1.71%,Other Multiline Insurance & Brokers
MIGDAL INSURANCE AND FINANCIAL HOLDINGS LTD.,463.6,ILa,1.32B,13.12%,Other Multiline Insurance & Brokers
MINERVA INSURANCE COMPANY PUBLIC LTD,0.0215,EUR,78.96L,34.38%,Other Multiline Insurance & Brokers
MOHANDES INSURANCE COMPANY,17.12,EGP,49.13M,8.85%,Other Multiline Insurance & Brokers
NATIONAL GENERAL INSURANCE CO.,5.25,AED,236M,22.87%,Other Multiline Insurance & Brokers
NATIONAL INSURANCE COMPANY,1.16,JOD,13.09M,-6.45%,Other Multiline Insurance & Brokers
OMAN INSURANCE COMPANY,3.55,AED,45Cr,-8.97%,Other Multiline Insurance & Brokers
OMAN INTERNATIONAL DEVELOPMENT AND INVESTMENT COMPANY SAOG,0.334,OMR,58Cr,-20.48%,Other Multiline Insurance & Brokers
SAUDI ARABIAN COOPERATIVE INSURANCE COMPANY,16.78,SAR,13Cr,11.72%,Other Multiline Insurance & Brokers
THE MEDITERRANEAN & GULF INSURANCE CO P L C - JORDAN,0.36,JOD,5.08M,-2.70%,Other Multiline Insurance & Brokers
TRUST INTERNATIONAL INSURANCE CO. P.L.C,3,USD,4.95Cr,-5.96%,Other Multiline Insurance & Brokers
UNITED INSURANCE COMPANY,1.7,JOD,1.92Cr,-8.11%,Other Multiline Insurance & Brokers
WARBA INSURANCE AND REINSURANCE COMPANY (K.S.C.P.),0.142,KWD,113M,41.01%,Other Multiline Insurance & Brokers
ZUR SHAMIR HOLDINGS LTD,627.2,ILa,110M,16.41%,Other Multiline Insurance & Brokers
ABU DHABI NATIONAL ENERGY COMPANY,2.57,AED,79.59B,-26.57%,Other Multiline Utilities
ACWA POWER COMPANY,420,SAR,80.63B,63.75%,Other Multiline Utilities
BARKA WATER AND POWER COMPANY SAOG,0.24,OMR,9.97Cr,445.45%,Other Multiline Utilities
QATAR ELECTRICITY & WATER COMPANY Q.P.S.C.,15.86,QAR,479.22Cr,-15.64%,Other Multiline Utilities
SHAMAL AZ-ZOUR AL-OULA POWER AND WATER COMPANY KSC (PUBLIC),0.153,KWD,55Cr,-11.56%,Other Multiline Utilities
SMN POWER HOLDING SAOG,0.315,OMR,163M,314.47%,Other Multiline Utilities
SOHAR POWER COMPANY SAOG,0.017,OMR,97.58L,0.00%,Other Multiline Utilities
THE POWER AND WATER UTILITY COMPANY FOR JUBAIL AND YANBU,61.4,SAR,4.02B,-5.25%,Other Multiline Utilities
CARMEL CORP LTD.,"1,749.00",ILa,95.11M,-11.49%,Other Non-Alcoholic Beverages
COCA-COLA IECEK ANONIM SIRKETI,60.1,TRY,496.24Cr,25.80%,Other Non-Alcoholic Beverages
DHOFAR BEVERAGE AND FOOD STUFF COMPANY SAOG,0.2,OMR,1.04Cr,-7.41%,Other Non-Alcoholic Beverages
DUBAI REFRESHMENT,18.5,AED,45Cr,-3.14%,Other Non-Alcoholic Beverages
KERUR HOLDINGS LTD.,"6,500.00",ILa,217M,0.31%,Other Non-Alcoholic Beverages
KRISTAL KOLA VE MESRUBAT SANAYI TICARET,5.88,TRY,3.36Cr,-48.42%,Other Non-Alcoholic Beverages
NATIONAL MINERAL WATER COMPANY SAOG,0.046,OMR,32.26L,-16.36%,Other Non-Alcoholic Beverages
NATIONAL REAL ESTATE DEVELOPMENT AND INVESTMENTS COMPANY SAOG,5,OMR,22.89M,0.00%,Other Non-Alcoholic Beverages
OMAN REFRESHMENT COMPANY SAOG,1.1,OMR,14Cr,-21.43%,Other Non-Alcoholic Beverages
BAK AMBALAJ SANAYI VE TICARET,35.5,TRY,74.6M,-2.36%,Other Non-Paper Containers & Packaging
BERKOSAN YALITIM VE TECRIT MADDELERI RETIM VE TICARET,29.32,TRY,27.97M,28.86%,Other Non-Paper Containers & Packaging
EMINIS AMBALAJ SANAYI VE TICARET,291.5,TRY,5.48Cr,212.94%,Other Non-Paper Containers & Packaging
FILLING AND PACKING MATERIALS MANUFACTURING COMPANY,47.8,SAR,15Cr,-12.77%,Other Non-Paper Containers & Packaging
FLEXIBLE INDUSTRIAL PACKAGES COMPANY SC,0.06,OMR,0,-.--%,Other Non-Paper Containers & Packaging
GULF PLASTIC INDUSTRIES COMPANY SAOG,0.39,OMR,0,-.--%,Other Non-Paper Containers & Packaging
MEDICAL PACKAGING COMPANY,1.37,EGP,1.84Cr,50.38%,Other Non-Paper Containers & Packaging
ADES HOLDING COMPANY,20.56,SAR,601.27Cr,-14.33%,Other Oil & Gas Drilling
ADNOC DRILLING COMPANY,4.53,AED,19.6B,19.84%,Other Oil & Gas Drilling
ARABIAN DRILLING COMPANY,120,SAR,286.06Cr,-37.17%,Other Oil & Gas Drilling
GULF INTERNATIONAL SERVICES Q.P.S.C.,3.303,QAR,168.61Cr,19.72%,Other Oil & Gas Drilling
LAPIDOTH CAPITAL LTD,"5,448.00",ILa,91Cr,-3.13%,Other Oil & Gas Drilling
NATIONAL DRILLING COMPANY,4.69,USD,23.45M,0.00%,Other Oil & Gas Drilling
C.O. CYPRUS OPPORTUNITY ENERGY,0.0145,EUR,20.58L,-.--%,Other Oil & Gas Exploration and Production
DELEK GROUP LTD.,"43,330.00",ILa,211.06Cr,-6.72%,Other Oil & Gas Exploration and Production
EQUITAL LTD.,"12,330.00",ILa,122.21Cr,11.48%,Other Oil & Gas Exploration and Production
GIVOT OLAM OIL EXPLORATION-LIMITED PARTNERSHIP(1993),25.5,ILa,1.92Cr,-18.53%,Other Oil & Gas Exploration and Production
IPEK DOGAL ENERJI KAYNAKLARI ARASTIRMA VE RETIM,48.02,TRY,366M,50.44%,Other Oil & Gas Exploration and Production
ISRAEL LAND DEVELOPMENT - URBAN RENEWAL LTD,740,ILa,12Cr,37.80%,Other Oil & Gas Exploration and Production
LAPIDOTH-HELETZ LIMITED PARTNERSHIP,106.1,ILa,20.2M,-6.93%,Other Oil & Gas Exploration and Production
MODIIN ENERGY-LIMITED PARTNERSHIP,174,ILa,12.72M,-17.85%,Other Oil & Gas Exploration and Production
NAPHTHA ISRAEL PETROLEUM CORP. LTD.,"2,167.00",ILa,55Cr,19.26%,Other Oil & Gas Exploration and Production
"NAVITAS PETROLEUM, LIMITED PARTNERSHIP","5,400.00",ILa,1.44B,66.00%,Other Oil & Gas Exploration and Production
PETROTX - LIMITED PARTNERSHIP,59.3,ILa,37.41L,-24.27%,Other Oil & Gas Exploration and Production
RATIO ENERGIES - LIMITED PARTNERSHIP,292.4,ILa,89Cr,-2.40%,Other Oil & Gas Exploration and Production
RATIO PETROLEUM ENERGY - LIMITED PARTNERSHIP,16.4,ILa,1Cr,23.31%,Other Oil & Gas Exploration and Production
SHEMEN OIL AND GAS RESOURCES LTD,-,ILa,150K,0.00%,Other Oil & Gas Exploration and Production
THE ENERGY HOUSE HOLDING COMPANY K.S.C.P.,0.08,KWD,11.87M,26.98%,Other Oil & Gas Exploration and Production
ABU DHABI NATIONAL OIL COMPANY FOR DISTRIBUTION,3.64,AED,12.22B,-1.62%,Other Oil & Gas Refining and Marketing
AFAQ FOR ENERGY CO. P.L.C,1.59,JOD,247M,-15.43%,Other Oil & Gas Refining and Marketing
ALEXANDRIA MINERAL OILS COMPANY,9.45,EGP,25Cr,-4.16%,Other Oil & Gas Refining and Marketing
AQASEEM FACTORY FOR CHEMICALS AND PLASTICS CO.,51.2,SAR,35.98M,-27.27%,Other Oil & Gas Refining and Marketing
AYGAZ,145,TRY,943M,7.41%,Other Oil & Gas Refining and Marketing
JORDAN PETROLEUM REFINERY CO. LTD.,4.85,JOD,68Cr,3.19%,Other Oil & Gas Refining and Marketing
MEPET METRO PETROL VE TESISLERI SANAYI TICARET,9.37,TRY,21.74M,23.29%,Other Oil & Gas Refining and Marketing
NATIONAL GAS COMPANY SAOG,0.105,OMR,23.18M,23.53%,Other Oil & Gas Refining and Marketing
NEFT ALSHARQ FOR CHEMICAL INDUSTRY COMPANY,4.27,SAR,29.32M,0.00%,Other Oil & Gas Refining and Marketing
PAZ OIL COMPANY LTD.,"38,830.00",ILa,112.47Cr,29.78%,Other Oil & Gas Refining and Marketing
RABIGH REFINING AND PETROCHEMICAL COMPANY,7.97,SAR,3.57B,-22.92%,Other Oil & Gas Refining and Marketing
SAUDI ARAMCO BASE OIL COMPANY - LUBEREF,133,SAR,596.35Cr,-8.40%,Other Oil & Gas Refining and Marketing
TAQA ARABIA S.A.E.,14.8,EGP,410M,10.04%,Other Oil & Gas Refining and Marketing
QATAR GAS TRANSPORT COMPANY LIMITED (NAKILAT) (QPSC),4.435,QAR,6.75B,25.99%,Other Oil & Gas Transportation Services
THE NATIONAL SHIPPING COMPANY OF SAUDI ARABIA,29.3,SAR,584.38Cr,32.82%,Other Oil & Gas Transportation Services
AL MAHHAR HOLDING COMPANY Q.P.S.C.,2.3,QAR,13Cr,55.20%,Other Oil Related Services and Equipment
GMC GROUP FOR INDUSTRIAL COMMERCIAL & FINANCIAL INVESTMENTS,0.838,EGP,715K,-26.10%,Other Oil Related Services and Equipment
MARIDIVE AND OIL SERVICES S.A.E.,0.415,USD,195M,151.52%,Other Oil Related Services and Equipment
SENERGY HOLDING COMPANY K.S.C.P.,0.036,KWD,23.53M,18.03%,Other Oil Related Services and Equipment
BAREM AMBALAJ SANAYI VE TICARET ANONIM SIRKETI,18.37,TRY,14Cr,9.94%,Other Paper Packaging
DELTA CO. FOR PRINTING & PACKAGING S.A.E,47.62,EGP,5.47M,12.23%,Other Paper Packaging
DURAN DOGAN BASIM VE AMBALAJ SANAYI,11.62,TRY,35.15M,-31.69%,Other Paper Packaging
EL AHRAM CO. FOR PRINTING AND PACKAGING SAE,8.01,EGP,13.66L,14.10%,Other Paper Packaging
KAPLAMIN AMBALAJ SANAYI VE TICARET,179.9,TRY,10Cr,107.70%,Other Paper Packaging
KARTONSAN KARTON SANAYI VE TICARET,87.15,TRY,194M,20.21%,Other Paper Packaging
MONDI TIRE KUTSAN KAGIT VE AMBALAJ SANAYI,6.03,TRY,62.58M,-59.15%,Other Paper Packaging
OMANI PACKAGING COMPANY SAOG,0.2,OMR,16.85M,0.00%,Other Paper Packaging
PACKAGING COMPANY LIMITED SAOG,1.95,OMR,1.52Cr,-11.76%,Other Paper Packaging
PAPER HOME COMPANY,203.8,SAR,83.95M,8.52%,Other Paper Packaging
SHUAIBA INDUSTRIAL COMPANY K.P.S.C.,0.19,KWD,61.72M,20.25%,Other Paper Packaging
THE NATIONAL CARTON INDUSTRY P.L.C,1.75,USD,87.5L,4.79%,Other Paper Packaging
UNIVERSAL FOR PAPER AND PACKAGING MATERIALS,0.458,EGP,7.17M,-10.89%,Other Paper Packaging
ALKIM ALKALI KIMYA,32.54,TRY,14Cr,-4.52%,Other Paper Products
EUROPAP TEZOL KAGIT SANAYI VE TICARET,19.04,TRY,246M,5.78%,Other Paper Products
MIDDLE EAST COMPANY FOR MANUFACTURING AND PRODUCING PAPER,41.7,SAR,944M,20.87%,Other Paper Products
RAKTA PAPER MANUFACTURING COMPANY,24.31,EGP,1.5Cr,69.41%,Other Paper Products
SAUDI PAPER MANUFACTURING COMPANY,68.1,SAR,68Cr,68.91%,Other Paper Products
COMPREHENSIVE MULTIPLE TRANSPORTATIONS COMPANY,1.85,JOD,3.91Cr,88.78%,"Other Passenger Transportation, Ground & Sea"
GR-SEL TURIZM TASIMACILIK VE SERVIS TICARET,138.3,TRY,417M,103.08%,"Other Passenger Transportation, Ground & Sea"
JORDAN EXPRESS TOURIST TRANSPORT CO. LTD,1.57,JOD,23.92M,-16.93%,"Other Passenger Transportation, Ground & Sea"
LOUIS PLC,0.055,EUR,28.35M,-13.39%,"Other Passenger Transportation, Ground & Sea"
PLATFORM TURIZM TASIMACILIK GIDA INSAAT TEMIZLIK HIZMETLERI SANAYI VE TICARET ANONIM SIRKETI,24.9,TRY,191M,79.31%,"Other Passenger Transportation, Ground & Sea"
SAUDI PUBLIC TRANSPORT COMPANY,19.7,SAR,65Cr,-5.01%,"Other Passenger Transportation, Ground & Sea"
TUREKS TURIZM TASIMACILIK ANONIM SIRKETI,76.9,TRY,238M,164.26%,"Other Passenger Transportation, Ground & Sea"
LILA KAGIT SANAYI VE TICARET,26.26,TRY,46Cr,0.00%,Other Personal Products
ALEXANDRIA CO. FOR PHARMACEUTICALS & CHEMICAL INDUSTRIES,219.23,EGP,22.47M,22.98%,Other Pharmaceuticals
BEIT JALA PHARMACEUTICAL COMPANY,2.8,JOD,27.65M,-.--%,Other Pharmaceuticals
DAR AL DAWA DEVELOPMENT AND INVESTMENT CO. LTD.,1.27,JOD,62.7M,-3.79%,Other Pharmaceuticals
DAR AL-SHIFA PHARMACEUTICALS COMPANY,3.35,USD,3.02Cr,-.--%,Other Pharmaceuticals
DBK PHARMA,-,EGP,0,-.--%,Other Pharmaceuticals
DEVA HOLDING,67.35,TRY,404M,-10.72%,Other Pharmaceuticals
EI- NILE CO. FOR PHARMACEUTICALS AND CHEMICAL INDUSTRIES,67.99,EGP,1.41Cr,-18.18%,Other Pharmaceuticals
"EIS ECZACIBASI ILA, SINAI VE FINANSAL YATIRIMLAR SANAYI VE TICARET",50.35,TRY,1.02B,14.65%,Other Pharmaceuticals
GEN ILAC VE SAGLIK URUNLERI SANAYI VE TICARET ANONIM SIRKETI,82.15,TRY,733M,75.23%,Other Pharmaceuticals
GLAXOSMITHKLINE S.A.E,30.23,EGP,5.18Cr,-14.96%,Other Pharmaceuticals
HAYAT PHARMACEUTICAL INDUSTRIES CO. PLC,2.54,JOD,34.04M,5.83%,Other Pharmaceuticals
